dog_breed,category,datadog_score,popularity_in_us,lifetime_cost_usd,intelligence_trainability_ranking,intelligence_trainability_percent,longevity_years,longevity_percent,num_genetic_ailments,genetic_ailments_percent,avg_purchase_price_us,avg_purchase_price_us_percent,food_costs_yearly_usd,food_costs_yearly_percent,grooming_required,grooming_required_percent,suitability_for_children_score,suitability_for_children_percent,ultimate top_dog_mega_score_kids,ultimate_top_data_dog_mega_ranking_no_kids,ultimate_top_data_dog_mega_ranking_kids,ultimate_top_dog_mega_score,popularity_rating,size_category,weight_kg,weight_lbs,shoulder_height_cm,shoulder_height_in,intelligence_category,repetitions_new_commands,obey_first_command_percent,longevity_sample_size,genetic_diseases_congenital,congenital_ailments_areas_affected,lifetime_cost_usd.1,lifetime_cost_percent,avg_purchase_price_usd,price_category,lowest_usd,highest_usd,avg_food_weekly_â£,min_gpb,max_gpb,food_weekly_usd,food_yearly_usd,food_lifetime_usd,other_costs_total_usd,total_yearly_usd,total_yearly_gbp,treats_enrichment_yearly_gpb,pet_sitters_yearly_gbp,grooming_yearly_gbp,vet_fees_yearly_gbp,startup_costs
Border Collie,herding,3.64,45,20143.0,1,1.0,12.52,0.79,2,0.78,623,0.71,324.0,0.68,2,0.75,3,0.0,4.02,1.0,29.0,3.64,45.0,medium,no data,no data,51,20,Brightest,<5,>95,164,"eye problems, deafness","Collie eye anomaly, deafness",17404,0.48,623,budget,175,1050,4,4,4,5.34,278.0,3486,13095,1046,784,121,126,244,177,200
Border Terrier,terrier,3.61,80,22638.0,30,0.7,14.0,0.98,0,1.0,833,0.44,324.0,0.68,2,0.75,1,1.0,4.99,2.0,1.0,3.61,80.0,small,6,13.5,no data,no data,Above average,15-25,>70,177,none,none,19575,0.14,833,mid-price,250,1200,4,4,4,5.34,278.0,3898,14643,1046,784,121,126,244,177,200
Brittany,sporting,3.54,30,22589.0,19,0.8,12.92,0.89,0,1.0,618,0.72,466.0,0.23,2,0.75,2,0.5,4.42,3.0,11.0,3.54,30.0,medium,16,35,48,19,Excellent,15-May,>85,28,none,none,19503,0.16,618,budget,300,1200,5.75,4,7.5,7.67,400.0,5171,13514,1046,784,121,126,244,177,200
Cairn Terrier,terrier,3.53,59,21992.0,35,0.61,13.84,0.95,2,0.78,435,0.95,324.0,0.68,2,0.75,1,1.0,4.91,4.0,2.0,3.53,59.0,small,6,14,25,10,Above average,15-25,>70,156,"'lion jaw', heart problems  ","Craniomandibular osteopathy (""lion jaw""), Mitral valve dysplasia",18965,0.23,435,budget,300,600,4,4,4,5.34,278.0,3854,14476,1046,784,121,126,244,177,200
Welsh Springer Spaniel,sporting,3.34,130,20224.0,31,0.69,12.49,0.77,1,0.89,750,0.55,324.0,0.68,2,0.75,1,1.0,4.71,5.0,4.0,3.34,130.0,medium,no data,no data,46,18,Above average,15-25,>70,172,hip problems,hip dysplasia,17492,0.46,750,mid-price,750,750,4,4,4,5.34,278.0,3478,13064,1046,784,121,126,244,177,200
English Cocker Spaniel,sporting,3.33,63,18993.0,18,0.82,11.66,0.54,0,1.0,800,0.52,324.0,0.68,2,0.75,1,1.0,4.7,6.0,5.0,3.33,63.0,medium,14,30,41,16,Excellent,15-May,>85,1199,none,none,16442,0.63,800,mid-price,600,1000,4,4,4,5.34,278.0,3247,12196,1046,784,121,126,244,177,200
Cocker Spaniel,sporting,3.3,27,24330.0,20,0.79,12.5,0.78,2,0.78,465,0.93,674.0,0.21,2,0.75,1,1.0,4.67,7.0,6.0,3.3,27.0,small,11,25,37,14.5,Excellent,15-May,>85,-,"eye, skin problems","Retinal dysplasia, seborrhea",19888,0.11,465,budget,250,800,-,-,-,9,492.0,6149,13074,1046,784,121,126,244,177,200
Papillon,toy,3.26,38,21001.0,8,0.92,13.0,0.9,5,0.44,740,0.56,324.0,0.68,2,0.75,2,0.5,4.13,8.0,22.0,3.26,38.0,small,no data,no data,24,9.5,Brightest,<5,>95,100,"cataracts, hair loss, heart, eye, blood clotting disorders","Cataracts, Follicular dysplasias, Mitral valve dysplasia, Progressive retinal atrophy, von Willebrand's disease",18157,0.37,740,mid-price,400,1000,4,4,4,5.34,278.0,3620,13597,1046,784,121,126,244,177,200
Australian Cattle Dog,herding,3.25,60,20395.0,10,0.9,11.67,0.55,1,0.89,530,0.85,466.0,0.23,2,0.75,3,0.0,3.63,9.0,52.0,3.25,60.0,medium,no data,no data,47,18.5,Brightest,<5,>95,11,hip problems,hip dysplasia,17607,0.43,530,budget,250,1000,5.75,4,7.5,7.67,400.0,4671,12206,1046,784,121,126,244,177,200
Shetland Sheepdog,herding,3.22,20,21006.0,6,0.94,12.53,0.8,5,0.44,465,0.93,405.0,0.63,1,0.5,1,1.0,4.47,11.0,8.0,3.22,20.0,small,10.15,22,37,14.5,Brightest,<5,>95,439,"eye problems, deafness, skin + heart problems, blood clotting disorders","Collie eye anomaly (CEA), deafness, Dermatomyositis and ulcerative dermatosis, Patent ductus arteriosus (PDA), von Willebrand's disease",17469,0.47,465,budget,150,1000,-,-,-,6,295.0,3698,13106,1046,784,121,126,244,177,200
