CODE,BREED DESCRIPTION
AFF,AFFENPINSCHER
AKI,AKITA
MAL,ALASKAN MALAMUTE
AW,AMERICAN WIREHAIRD
ARG,ARGENTINE DOGO
ACD,AUSTRALIAN CATTLE DOG
BJI,BASENJI
BEA,BEAGLE
BEL,BELGIAN TERVERUEN
BER,BERNESE MOUNTIAN DOG
BIC,BICHON FISE
BOL,BOLOGNESE
BRZ,BORZOI
BDF,BOUVIER DES FLANDERS
BOX,BOXER
BRI,BRIARD
ABD,"BULLDOG, AMERICAN"
EBD,"BULLDOG, ENGLISH"
FBD,"BULLDOG, FRENCH"
CAN,CANAAN DOG
CSH,"CHIHUAHUA, SHORTHAIR"
CLH,"CHIHUAHUA, LONGHAIR"
CMH,", CHIHUAHUA, MEXICAN HAIRLESS"
CCR,CHINESE CRESTED
CHW,CHOW CHOW
BDC,"COLLIE, BEARDED"
BOR,"COLLIE, BORDER"
CLR,"COLLIE, ROUGH"
CLS,"COLLIE, SMOOTH"
CDT,COTON DE TULEIRE
CWC,"CORGI, CARDIGAN WELSH"
COD,E BREED DESCRIPTION
CAN,INE BREEDS
PEM,"CORGI, PEMBROKE WELSH"
DCL,"DACHSHUND, LONGHAIR"
DSM,"DACHSHUND, MINIATURE"
DSC,"DACHSHUND, SMOOTH"
DCW,"DACHSHUND, WIREHAIRED"
DAL,DALMATIAN
DOB,DOBERMAN PINSCHER
DDB,DOGUE DE BORDEAUX
ESK,"ESKIMO, AMERICAN"
FIL,FILA BRASILEIRO
FHA,"FOXHOUND, AMERICAN"
FHE,"FOXHOUND, ENGLISH"
GRT,GREAT DANE
GRP,GREAT PYRANESE
BRS,"GRIFFON, BRUSSELS"
PBG,"GRIFFON VENDEEN, PETITE"
BAS,SETT
WPG,"GRIFFON, WIREHAIRED"
POI,NTING
HAR,HARRIER
HAV,HAVANESE
AFG,"HOUND, AFGHAN"
BAS,"HOUND, BASSET"
BLD,"HOUND, BLOOD"
CAT,"HOUND, CATAHOULA"
